"east" "north" "x" "y" "elev" "d.river" "Cd" "Cu" "Pb" "Zn" "LOI" "Fldf" "Soil"
271213.43 5651242.28 1252 1101 6.32 750 3.4 55 325 778 6.9 1 1
270654.71 5651265.69 693 1097 8.17 320 0.4 22 76 186 6.5 2 1
270273.16 5651266.37 312 1079 6.42 100 5.6 68 429 1136 8.2 1 1
271339.94 5651208.03 1380 1073 8.76 500 0.4 23 63 203 7.2 2 2
270822.05 5651226.43 862 1066 7.95 460 0.8 25 87 226 5.6 2 1
270469.97 5651235.7 510 1058 6.32 260 3.1 39 237 593 7 1 1
270312.33 5651227.41 353 1042 8.53 150 2.4 41 145 505 9.4 2 1
270365.54 5651209.77 407 1027 6.32 200 3.9 49 260 685 5.7 1 1
270537.55 5651184.31 580 1010 8.46 320 0.4 24 81 198 6.6 2 1
270165.72 5651158.49 210 966 7.54 80 2.5 36 204 560 4.4 1 1
270386.49 5651126.63 432 945 6.16 270 2.9 45 228 549 7.3 1 1
270449 5651114.54 495 936 6.56 320 3.9 48 241 680 8.2 1 1
270471.13 5651055.36 520 878 9.04 380 1.2 31 73 206 6.9 3 1
270755.34 5651030.42 805 867 7.65 630 0.4 26 73 180 7 2 1
270384.38 5651042.6 434 861 7.86 310 2 27 146 451 7 3 1
270051.47 5651054.91 101 857 7.68 70 2.7 34 226 577 10.2 2 1
271130.7 5650984.96 1182 840 7.79 380 0.4 22 49 157 6.4 2 1
270223.3 5651005.44 275 816 8.5 220 2.6 33 163 420 9 2 1
270405.85 5650990.47 458 810 6.9 360 2.7 36 201 539 4.3 1 1
270962.82 5650911.05 1018 758 7.61 420 0.8 23 66 199 6.5 2 1
270429.06 5650912.21 485 733 8.74 430 1.5 29 95 296 5.4 3 1
269948.16 5650908.76 5 706 8.53 70 2.7 37 214 553 9.4 2 1
270548.23 5650871.31 606 698 8.41 540 0.4 18 68 187 5.9 2 1
270371.2 5650875.98 429 694 7.63 450 2 38 148 400 6.5 2 1
270807.17 5650841.58 866 681 9.4 460 0.8 21 51 162 5.7 3 1
271660.69 5650784.69 1721 666 8.7 80 3.7 53 250 722 9.1 2 2
271490.21 5650780.03 1551 653 7.3 50 18.1 76 464 1672 17 1 1
270143.19 5650842.11 203 649 8.65 280 1.8 27 129 332 7 2 1
